date,sales
8/14/2017,336
8/15/2017,1188
8/15/2017,912
8/15/2017,1116
8/15/2017,84
8/15/2017,12
8/15/2017,12960
8/15/2017,12
8/15/2017,12
8/15/2017,24
8/15/2017,72
8/15/2017,24
8/15/2017,24
8/15/2017,84
8/15/2017,216
8/15/2017,12
8/15/2017,576
8/16/2017,1560
8/16/2017,64
8/16/2017,1560
8/16/2017,384
8/16/2017,312
8/16/2017,348
8/16/2017,120
8/16/2017,168
8/16/2017,48
8/16/2017,72
8/16/2017,4776
8/16/2017,168
8/16/2017,24
8/16/2017,24
8/16/2017,48
8/16/2017,96
8/16/2017,24
8/16/2017,1416
8/16/2017,384
8/16/2017,36
8/16/2017,24
8/16/2017,216
8/16/2017,48
8/16/2017,24
8/16/2017,120
8/16/2017,84
8/16/2017,192
8/17/2017,1560
8/17/2017,156
8/17/2017,420
8/17/2017,152
8/17/2017,96
8/17/2017,36
8/17/2017,516
8/17/2017,1032
8/17/2017,1260
8/17/2017,888
8/17/2017,276
8/17/2017,120
8/17/2017,12
8/17/2017,72
8/17/2017,12
8/17/2017,264
8/17/2017,312
8/17/2017,168
8/17/2017,72
8/17/2017,48
8/17/2017,12
8/17/2017,48
8/17/2017,72
8/17/2017,72
8/17/2017,144
8/17/2017,24
8/17/2017,309
8/17/2017,36
8/17/2017,240
8/17/2017,48
8/17/2017,48
8/17/2017,24
8/17/2017,60
8/17/2017,588
8/17/2017,216
8/17/2017,384
8/18/2017,120
8/18/2017,560
8/18/2017,528
8/18/2017,432
8/18/2017,360
8/18/2017,60
8/18/2017,360
8/18/2017,24
8/18/2017,24
8/18/2017,24
8/18/2017,24
8/18/2017,12
8/18/2017,1970
8/18/2017,252
8/18/2017,360
8/21/2017,32
8/21/2017,16
8/21/2017,24
8/21/2017,24
8/21/2017,96
8/21/2017,816
8/21/2017,648
8/21/2017,408
8/21/2017,24
8/21/2017,48
8/21/2017,216
8/21/2017,19
8/21/2017,720
8/21/2017,720
8/21/2017,5
8/21/2017,35
8/21/2017,48
8/21/2017,24
8/21/2017,15
8/21/2017,2
8/21/2017,18
8/21/2017,25
8/21/2017,1323
8/21/2017,3
8/21/2017,240
8/21/2017,170
8/22/2017,240
8/22/2017,64
8/22/2017,24
8/22/2017,84
8/22/2017,1572
8/22/2017,1008
8/22/2017,1320
8/22/2017,384
8/22/2017,12
8/22/2017,384
8/22/2017,12
8/22/2017,24
8/22/2017,24
8/22/2017,24
8/22/2017,24
8/22/2017,240
8/22/2017,48
8/22/2017,288
8/22/2017,24
8/22/2017,24
8/22/2017,96
8/22/2017,24
8/22/2017,96
8/22/2017,5
8/22/2017,240
8/22/2017,24
8/22/2017,504
8/23/2017,348
8/23/2017,24
8/23/2017,84
8/23/2017,24
8/24/2017,5460
8/24/2017,160
8/24/2017,4320
8/24/2017,1632
8/24/2017,504
8/24/2017,1428
8/24/2017,576
8/24/2017,852
8/24/2017,276
8/24/2017,7032
8/24/2017,708
8/24/2017,216
8/24/2017,48
8/24/2017,72
8/24/2017,72
8/24/2017,72
8/24/2017,72
8/24/2017,192
8/24/2017,144
8/24/2017,144
8/24/2017,60
8/24/2017,132
8/24/2017,24
8/24/2017,72
8/24/2017,48
